dbn,ay,test_year,grade,category,number_tested,mean_scale_score,level_1_n,level_1_pct,level_2_n,level_2_pct,level_3_n,level_3_pct,level_4_n,level_4_pct,level_3_4_n,level_3_4_pct,year,charter
84K037,2014,2015,3,All Students,44,321.0,4.0,9.1,14.0,31.8,13.0,29.5,13.0,29.5,26.0,59.1,2015,True
84K037,2015,2016,3,All Students,52,330.0,2.0,3.8,10.0,19.2,19.0,36.5,21.0,40.4,40.0,76.9,2016,True
84K037,2016,2017,3,All Students,50,322.0,2.0,4.0,17.0,34.0,19.0,38.0,12.0,24.0,31.0,62.0,2017,True
84K037,2017,2018,3,All Students,51,607.0,6.0,11.8,10.0,19.6,18.0,35.3,17.0,33.3,35.0,68.6,2018,True
84K037,2018,2019,3,All Students,50,604.0,3.0,6.0,16.0,32.0,22.0,44.0,9.0,18.0,31.0,62.0,2019,True
84K037,2015,2016,4,All Students,40,335.0,1.0,2.5,6.0,15.0,12.0,30.0,21.0,52.5,33.0,82.5,2016,True
84K037,2016,2017,4,All Students,52,327.0,5.0,9.6,12.0,23.1,14.0,26.9,21.0,40.4,35.0,67.3,2017,True
84K037,2017,2018,4,All Students,54,602.0,9.0,16.7,13.0,24.1,22.0,40.7,10.0,18.5,32.0,59.3,2018,True
84K037,2018,2019,4,All Students,52,607.0,5.0,9.6,11.0,21.2,16.0,30.8,20.0,38.5,36.0,69.2,2019,True
84K037,2016,2017,5,All Students,39,329.0,3.0,7.7,9.0,23.1,18.0,46.2,9.0,23.1,27.0,69.2,2017,True
84K037,2017,2018,5,All Students,53,612.0,2.0,3.8,11.0,20.8,20.0,37.7,20.0,37.7,40.0,75.5,2018,True
84K037,2018,2019,5,All Students,50,617.0,2.0,4.0,5.0,10.0,12.0,24.0,31.0,62.0,43.0,86.0,2019,True
84K037,2017,2018,6,All Students,44,603.0,5.0,11.4,19.0,43.2,14.0,31.8,6.0,13.6,20.0,45.5,2018,True
84K037,2018,2019,6,All Students,53,605.0,11.0,20.8,10.0,18.9,17.0,32.1,15.0,28.3,32.0,60.4,2019,True
84K037,2018,2019,7,All Students,40,599.0,10.0,25.0,15.0,37.5,11.0,27.5,4.0,10.0,15.0,37.5,2019,True
84K037,2014,2015,All Grades,All Students,44,321.0,4.0,9.1,14.0,31.8,13.0,29.5,13.0,29.5,26.0,59.1,2015,True
84K037,2015,2016,All Grades,All Students,92,332.0,3.0,3.3,16.0,17.4,31.0,33.7,42.0,45.7,73.0,79.3,2016,True
84K037,2016,2017,All Grades,All Students,141,326.0,10.0,7.1,38.0,27.0,51.0,36.2,42.0,29.8,93.0,66.0,2017,True
84K037,2017,2018,All Grades,All Students,202,606.0,22.0,10.9,53.0,26.2,74.0,36.6,53.0,26.2,127.0,62.9,2018,True
84K037,2018,2019,All Grades,All Students,245,607.0,31.0,12.7,57.0,23.3,78.0,31.8,79.0,32.2,157.0,64.1,2019,True
84K125,2014,2015,3,All Students,56,347.0,1.0,1.8,5.0,8.9,14.0,25.0,36.0,64.3,50.0,89.3,2015,True
84K125,2015,2016,3,All Students,78,359.0,0.0,0.0,0.0,0.0,15.0,19.2,63.0,80.8,78.0,100.0,2016,True
84K125,2016,2017,3,All Students,81,356.0,0.0,0.0,1.0,1.2,14.0,17.3,66.0,81.5,80.0,98.8,2017,True
84K125,2017,2018,3,All Students,73,626.0,1.0,1.4,2.0,2.7,14.0,19.2,56.0,76.7,70.0,95.9,2018,True
84K125,2018,2019,3,All Students,79,622.0,0.0,0.0,2.0,2.5,19.0,24.1,58.0,73.4,77.0,97.5,2019,True
84K125,2015,2016,4,All Students,47,363.0,1.0,2.1,3.0,6.4,4.0,8.5,39.0,83.0,43.0,91.5,2016,True
84K125,2016,2017,4,All Students,72,364.0,0.0,0.0,1.0,1.4,7.0,9.7,64.0,88.9,71.0,98.6,2017,True
84K125,2017,2018,4,All Students,70,630.0,0.0,0.0,0.0,0.0,4.0,5.7,66.0,94.3,70.0,100.0,2018,True
84K125,2018,2019,4,All Students,46,631.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,100.0,46.0,100.0,2019,True
84K125,2014,2015,All Grades,All Students,56,347.0,1.0,1.8,5.0,8.9,14.0,25.0,36.0,64.3,50.0,89.3,2015,True
84K125,2015,2016,All Grades,All Students,125,360.0,1.0,0.8,3.0,2.4,19.0,15.2,102.0,81.6,121.0,96.8,2016,True
84K125,2016,2017,All Grades,All Students,153,359.0,0.0,0.0,2.0,1.3,21.0,13.7,130.0,85.0,151.0,98.7,2017,True
84K125,2017,2018,All Grades,All Students,143,628.0,1.0,0.7,2.0,1.4,18.0,12.6,122.0,85.3,140.0,97.9,2018,True
84K125,2018,2019,All Grades,All Students,125,625.0,0.0,0.0,2.0,1.6,19.0,15.2,104.0,83.2,123.0,98.4,2019,True
84K129,2014,2015,3,All Students,73,359.0,1.0,1.4,5.0,6.8,9.0,12.3,58.0,79.5,67.0,91.8,2015,True
84K129,2015,2016,3,All Students,102,358.0,0.0,0.0,8.0,7.8,15.0,14.7,79.0,77.5,94.0,92.2,2016,True
84K129,2016,2017,3,All Students,73,356.0,0.0,0.0,0.0,0.0,13.0,17.8,60.0,82.2,73.0,100.0,2017,True
84K129,2017,2018,3,All Students,63,632.0,0.0,0.0,0.0,0.0,3.0,4.8,60.0,95.2,63.0,100.0,2018,True
84K129,2018,2019,3,All Students,71,626.0,0.0,0.0,0.0,0.0,9.0,12.7,62.0,87.3,71.0,100.0,2019,True
84K129,2015,2016,4,All Students,54,368.0,0.0,0.0,1.0,1.9,4.0,7.4,49.0,90.7,53.0,98.1,2016,True
84K129,2016,2017,4,All Students,91,357.0,0.0,0.0,6.0,6.6,18.0,19.8,67.0,73.6,85.0,93.4,2017,True
84K129,2017,2018,4,All Students,69,630.0,0.0,0.0,0.0,0.0,3.0,4.3,66.0,95.7,69.0,100.0,2018,True
84K129,2018,2019,4,All Students,59,629.0,0.0,0.0,0.0,0.0,5.0,8.5,54.0,91.5,59.0,100.0,2019,True
84K129,2016,2017,5,All Students,52,368.0,0.0,0.0,0.0,0.0,11.0,21.2,41.0,78.8,52.0,100.0,2017,True
84K129,2017,2018,5,All Students,57,627.0,0.0,0.0,3.0,5.3,10.0,17.5,44.0,77.2,54.0,94.7,2018,True
