dbn,beds
02M212,310200010212
29Q034,342900010034
17K091,331700010091
31R455,353100011455
07X522,320700011522
26Q188,342600010188
10X353,321000011353
09X236,320900010236
02M550,310200011550
84M861,310300860881
07X005,320700010005
75X811,307500012811
10X094,321000010094
01M184,310100010184
26Q173,342600010173
75X186,307500012186
23K518,332300010518
12X044,321200010044
32K168,333200011168
84K934,331700861165
25Q425,342500011425
79Q344,
02M438,310200011438
14K126,331400010126
10X159,321000010159
12X446,321200011446
84K712,331600860938
17K751,331700011751
12X314,321200010314
25Q263,342500011263
17K484,331700010484
84K037,331400861021
28Q904,
02M902,
27Q053,342700010053
15K447,331500010447
02M183,310200010183
28Q182,342800010182
32K299,333200010299
84Q386,342700861118
29Q035,342900010035
84M295,310600861101
31R075,353100010075
79K987,
84M351,310300860897
24Q236,342400011236
27Q108,342700010108
84X619,320800861155
16K688,331600011688
21K281,332100010281
28Q086,342800010086
15K001,331500010001
26Q376,342600010376
02M489,310200011489
02M051,310200010051
02M280,310200011280
84K927,331800861146
31R051,353100010051
84X497,320700861080
84X488,321100860956
14K110,331400010110
08X302,320800010302
10X308,321000010308
29Q268,342900010268
07X551,320700011551
79K755,
23K493,332300011493
84M380,310500861149
27Q480,342700011480
84K536,331300860893
14K586,331400011586
27Q123,342700010123
20K204,332000010204
24Q530,342400011530
75K503,
30Q329,343000010329
02M114,310200010114
02M442,310200011442
84X346,321200860898
30Q152,343000010152
07X369,320700010369
09X088,320900010088
75K140,307500013140
02M303,310200011303
02M393,310200011393
31R046,353100010046
84Q298,342400861048
14K257,331400010257
21K344,332100011344
30Q222,343000010222
12X267,321200011267
08X138,320800010138
84K879,331300861077
09X413,320900011413
28Q140,342800010140
10X081,321000010081
08X107,320800010107
75K396,307500013396
09X328,320900010328
84X429,321000861064
02M408,310200011408
30Q228,343000010228
09X297,320900011297
17K006,331700010006
79X997,
24Q014,342400010014
25Q499,342500011499
23K664,332300010664
19K149,331900010149
14K297,331400010297
09X361,320900010361
24Q311,342400010311
17K543,331700011543
31R022,353100010022
24Q019,342400010019
17K646,331700011646
03M245,310300010245
79K925,
84X606,320800861126
84K777,332300860936
10X280,321000010280
02M158,310200010158
08X561,320800011561
22K326,332200010326
02M294,310200011294
31R061,353100010061
21K239,332100010239
02M135,310200011135
09X128,320900010128
25Q193,342500010193
79M998,
29Q355,342900010355
12X214,321200010214
10X228,321000010228
13K011,331300010011
75X596,307500012596
75Q233,307500014233
84K766,331300861079
11X111,321100010111
12X531,321200010531
12X388,321200011388
32K552,333200011552
32K549,333200011549
18K068,331800010068
11X498,321100010498
27Q306,342700010306
84K649,331600860924
31R066,
03M009,310300010009
02M041,310200010041
19K171,331900010171
84K356,331700860879
84M483,310300860963
15K896,331500010896
28Q335,
02M531,310200011531
05M362,310500011362
31R028,353100010028
84M704,310400860812
15K698,331500011698
75Q811,307500014811
02M560,310200011560
75R721,307500015721
31R009,353100010009
06M322,310600010322
84X233,320700861028
84X706,320900860823
84K701,331400860809
75X010,307500012010
02M416,310200010416
24Q058,342400010058
09X457,320900010457
27Q090,342700010090
26Q216,342600010216
84X494,320900860980
15K463,331500011463
01M019,310100010019
10X023,321000010023
20K187,332000010187
10X246,321000010246
28Q620,342800011620
26Q074,342600010074
75X168,307500012168
05M286,310500010286
01M650,310100011650
18K208,331800010208
25Q252,342500011252
18K578,331800011578
24Q455,342400011455
84K473,331400860865
26Q041,342600010041
20K220,332000010220
84M204,310400861081
30Q148,343000010148
84X177,320900861004
79Q987,
25Q294,342500010294
84K752,331300861039
14K050,331400010050
09X070,320900010070
10X340,321000010340
05M499,310500011499
09X132,320900010132
02M347,310200010347
03M859,310300011859
13K605,331300011605
16K026,331600010026
24Q119,342400010119
25Q025,342500010025
24Q199,342400010199
22K361,332200010361
10X397,321000011397
84X398,321000860914
12X479,321200011479
11X468,321100010468
84X256,320700860703
07X030,320700010030
08X376,320800011376
07X065,320700010065
14K380,331400010380
79X993,
12X195,321200010195
14K414,331400010414
02M077,310200010077
11X041,321100010041
11X275,321100011275
84X592,321000861074
19K639,331900011639
84K792,331800860988
23K041,332300010041
84Q706,343000860836
09X260,320900011260
31R018,353100010018
09X594,320900010594
28Q690,342800011690
08X432,320800011432
10X209,321000010209
16K028,331600010028
31R003,353100010003
84Q337,342900861077
02M234,310200010234
16K309,331600010309
32K556,333200011556
10X439,321000011439
20K062,332000010062
27Q207,342700010207
10X091,321000010091
02M376,310200011376
31R042,353100010042
15K015,331500010015
12X682,321200011682
02M089,310200010089
84K775,332300860941
10X118,321000010118
84X703,320900860807
18K219,331800010219
84K693,331400860945
12X511,321200011511
31R054,353100010054
06M368,310600010368
03M505,310300011505
15K529,331500011529
13K902,
84M702,310300860804
15K136,331500010136
84R070,353100861136
79R971,
84M386,310300860923
31R016,353100010016
05M125,310500010125
31R460,353100011460
02M167,310200010167
75M811,307500011811
09X250,320900011250
27Q062,342700010062
01M332,310100010332
02M420,310200011420
03M541,310300011541
21K153,332100010153
14K477,331400011477
84M068,310600861013
31R072,353100010072
31R032,353100010032
12X341,321200010341
11X160,321100010160
84M174,310200861042
30Q078,343000010078
20K503,332000010503
26Q430,342600011430
75K231,307500013231
75X176,307500012176
24Q211,342400010211
30Q300,343000010300
26Q094,342600010094
02M033,310200010033
19K678,331900010678
17K191,331700010191
07X298,320700010298
84X309,320700860889
02M570,310200011570
26Q046,342600010046
02M059,310200010059
84K789,331300861066
02M198,310200010198
79M973,
84Q359,343000860998
10X056,321000010056
25Q240,342500011240
11X253,321100011253
19K224,331900010224
14K023,331400010023
26Q315,342600011315
79Q995,
31R440,353100011440
12X595,321200010595
22K611,332200011611
30Q011,343000010011
84Q341,342900860974
10X205,321000010205
13K054,331300010054
10X390,321000010390
26Q115,342600010115
32K116,333200010116
03M149,310300010149
11X016,321100010016
08X333,320800010333
28Q160,342800010160
13K351,331300010351
06M463,310600011463
84K367,331400861007
11X078,321100010078
25Q022,342500010022
30Q280,343000010280
22K425,332200011425
84X389,320700860915
20K186,332000010186
09X327,320900010327
19K273,331900010273
12X458,321200010458
23K363,332300010363
84K737,332300860954
19K663,331900010663
84K911,331300861110
10X225,321000010225
20K069,332000010069
17K408,331700011408
10X033,321000010033
84X585,320700861114
21K100,332100010100
84M708,310400860840
84K742,331700860950
30Q258,343000011258
22K315,332200010315
25Q792,342500011792
84M338,310600861111
15K032,331500010032
13K256,331300010256
09X218,320900010218
11X097,321100010097
17K722,331700010722
30Q069,343000010069
84X482,321200860965
15K839,331500010839
22K198,332200010198
11X180,321100010180
31R058,353100010058
02M427,310200011427
12X521,321200011521
75X721,307500012721
05M514,310500010514
84K886,331700861094
19K214,331900010214
08X152,320800010152
05M129,310500010129
08X048,320800010048
15K656,331500011656
84X124,321200861026
29Q192,342900010192
24Q267,342400011267
10X445,321000011445
15K418,
17K537,331700011537
08X101,320800010101
05M175,310500010175
07X001,320700010001
14K250,331400010250
02M217,310200010217
13K305,331300010305
10X546,321000011546
16K765,331600011765
24Q305,342400010305
01M696,310100011696
84M384,310500860921
84M478,310600860966
14K132,331400010132
18K285,331800010285
84M085,310500861012
84X614,320700861167
23K150,332300010150
79K981,
27Q319,342700010319
24Q081,342400010081
12X061,321200010061
28Q167,342800011167
20K485,332000011485
06M098,310600010098
08X537,320800011537
84X554,320700861005
02M544,310200011544
15K107,331500010107
08X348,320800011348
15K497,331500011497
30Q112,343000010112
29Q381,
75R037,307500015037
30Q204,343000010204
02M586,310200011586
24Q049,342400010049
75K753,307500013753
06M143,310600010143
30Q127,343000010127
03M452,310300010452
20K179,332000010179
84M330,310100860866
28Q349,342800010349
18K566,331800011566
02M308,310200011308
84X378,321100860909
10X054,321000010054
32K347,333200010347
24Q560,342400011560
75K077,307500013077
03M191,310300010191
84Q375,342700861090
26Q018,342600010018
06M314,310600010314
02M400,310200011400
20K264,332000010264
08X146,320800010146
75K369,307500013369
28Q101,342800010101
24Q007,342400010007
84Q321,343000860952
84K782,331600860971
30Q227,343000011227
13K670,331300011670
28Q284,342800011284
20K160,332000010160
07X427,320700011427
03M479,310300011479
09X073,320900010073
32K564,333200010564
12X271,321200011271
20K112,332000010112
10X020,321000010020
17K161,331700010161
03M256,310300010256
30Q145,343000010145
15K592,331500011592
08X014,320800010014
29Q134,342900010134
11X121,321100010121
75K141,307500013141
32K291,333200010291
11X087,321100010087
84X465,320700860994
16K627,331600010627
24Q485,342400011485
17K002,331700010002
08X375,320800010375
27Q262,342700011262
11X567,321100010567
79Q985,
14K319,331400010319
04M964,310400010964
11X265,321100011265
13K915,331300010915
02M003,310200010003
23K401,332300010401
