,major_code,major,enrollment
0,DND,NON-DEGREE/DOCTORAL,34
1,EAB,SCIENCE EDUCATION 7-12 AREAS,2
2,EAD,SOCIAL STUDIES EDUCATION 7-12,9
3,EAF,ENGLISH EDUCATION 7-12,8
4,EAH,TCHNG STDS W/DISABILITIES 7-12,19
5,EAJ,ADOL SWD IN INCL SET: IN-SERV,4
6,EAM,MATHEMATICS EDUCATION 7-12,2
7,EAT,ART EDUCATION,54
8,EAV,AUTISM SPECTRUM DISORDERS,5
9,EBA,CLN-RICH INT TCHR INST-ESOL,11
10,EBB,CLN-RICH INT TCHR INST-BILG ED,4
11,EBI,BIL CHLD SPEC ED INCLUSIVE ST,4
12,ECH,CHILDHOOD EDUCATION,15
13,ECK,CHILDHOOD SPEC ED NON CERT,1
14,ECM,COMMUNICATION DISORDERS,133
15,ECU,BILINGUAL ED FOR CERT TEACHERS,1
16,EDL,EDUCATIONAL LEADERSHIP,11
17,EDN,EDUCATION NON-DEGREE,16
18,EDX,EDUCATIONAL TECHNOLOGY,26
19,EEC,CHILDHOOD SPECIAL EDUCATION,1
20,EHC,HEALTH EDUCATION,13
21,EHE,HEALTH EDUCATION,7
22,EHG,HEALTH EDUCATION (GATE),6
23,EHS,SCHOOL HEALTH EDUCATION,5
24,EIS,CHLDHD SPEC ED INCLUSIVE SETS,13
25,ELA,LITERACY BIRTH-6/GRADE 5-12 IN,2
26,ELB,LITERACY BIRTH-GRADE 6 (INSER),2
27,ELD,SCHOOL DISTRICT LEADERSHIP,2
28,ELY,LITERACY EDUCATION,3
29,EMD,MIDDLE SCHOOL EDUCATION,2
30,EPH,EXERCISE SCIENCE,149
31,ESH,EARLY CHLDHD SPEC ED INSERVICE,1
32,ESJ,EARLY CHILD SPEC ED PRESERVICE,11
33,ETE,TEACH ENG SPKRS OTHER LANGUAGE,12
34,ETH,EDUCATIONAL THEATRE P-12,18
35,ETN,TESOL (NON-CERTIFICATION),4
36,EZA,SCHOLARS TEACHER EDUCATION PGM,88
37,EZT,SCHOLAR TEACHER ED PGM - TESOL,1
38,HCH,COMMUNITY HEALTH PROMOTION,2
39,NUT,NUTRITION,15
40,PES,"ED THEATRE,STRYTLNG & THE ARTS",4
41,PHN,PHYSICAL EDU:NON TEACHER CERT,1
42,PHP,PHYSICAL EDUCATION,2
43,PHR,PHYSICAL EDUCATION,53
44,PHS,PHYSICAL ACTIVITY STUDIES,23
45,PHV,PHYSICAL EDUCATION,1
46,PSM,SPORT MANAGEMENT,108
47,PYE,PHYSICAL EDUCATION,93
48,SAU,AUDIOLOGY,21
49,SCD,COMMUNICATION DISORDERS,80
50,SLS,SPEECH-LANGUAGE SCIENCES & DIS,1
