mean_scale_score,total_enrollment,asian_pct,black_pct,hispanic_pct,white_pct,swd_pct,ell_pct,poverty_pct,charter,eni_pct,district
592,333,0,0.748,0.237,0,0.228,0.015,0.694,1,0.763,84
585.9082642,795,0.014,0.322,0.634,0.013,0.23,0.146,0.925,0,0.933,7
587.3043213,276,0.014,0.297,0.674,0.004,0.221,0.123,0.935,0,0.914,12
593.7999878,485,0.012,0.336,0.443,0.159,0.334,0.049,0.736,0,0.794,15
581.9545288,290,0.028,0.583,0.331,0.045,0.279,0.128,0.96,0,0.96,19
575.824585,630,0.01,0.484,0.486,0.01,0.327,0.094,0.94,0,0.96,5
597.2189941,541,0.031,0.233,0.706,0.018,0.264,0.135,0.911,0,0.939,12
607.5757446,311,0.026,0.379,0.399,0.138,0.186,0.016,0.518,0,0.626,5
616,1172,0.009,0.795,0.127,0.014,0.125,0.033,0.776,1,0.737,84
591.7443848,897,0.039,0.194,0.647,0.107,0.216,0.08,0.799,0,0.841,11
609.1122437,884,0.061,0.016,0.414,0.498,0.156,0.06,0.469,0,0.338,24
608.9729614,518,0.45,0.002,0.135,0.394,0.18,0.116,0.477,0,0.387,25
608.1834717,632,0.236,0.184,0.288,0.204,0.169,0.06,0.494,0,0.494,2
609.8840332,483,0.76,0.081,0.147,0.012,0.236,0.317,0.932,0,0.909,2
601.9699097,859,0.165,0.033,0.425,0.353,0.137,0.225,0.787,0,0.723,30
588.2380981,133,0.038,0.496,0.361,0.098,0.353,0.15,0.925,0,0.892,3
607,829,0.124,0.117,0.376,0.311,0.207,0.076,0.53,1,0.534,84
601.2194824,295,0.498,0.18,0.285,0.024,0.288,0.19,0.776,0,0.834,2
616,409,0.012,0.756,0.183,0.022,0.21,0.015,0.819,1,0.732,84
613.3536377,518,0.45,0.002,0.135,0.394,0.18,0.116,0.477,0,0.387,25
619.0336914,694,0.073,0.014,0.091,0.692,0.171,0.016,0.072,0,0.079,2
594.7360229,757,0.042,0.223,0.686,0.049,0.305,0.049,0.867,0,0.816,8
596.7525024,567,0.219,0.101,0.379,0.287,0.162,0.166,0.758,0,0.805,21
603.7728271,1024,0.401,0.006,0.397,0.182,0.154,0.123,0.738,0,0.592,24
595,637,0.0188383050262928,0.618524312973022,0.342229187488556,0.0172684453427791,0.254317104816437,0.061,0.804,1,0.664,84
580.7288208,772,0.039,0.385,0.504,0.025,0.333,0.075,0.942,0,0.922,31
599.0302734,424,0.026,0.7,0.238,0.017,0.198,0.057,0.816,0,0.73,11
593.4796143,1889,0.05,0.004,0.935,0.007,0.222,0.555,0.895,0,0.872,24
617,639,0.016,0.886,0.056,0.003,0.119,0.003,0.715,1,0.507,84
597.1481323,377,0.019,0.615,0.31,0.016,0.268,0.04,0.714,0,0.55,11
595.7746582,474,0.165,0.384,0.397,0.027,0.251,0.086,0.732,0,0.763,25
605.416687,338,0.027,0.766,0.148,0.036,0.186,0.059,0.849,0,0.894,23
604.7010498,682,0.434,0.012,0.411,0.132,0.189,0.128,0.827,0,0.881,20
595.5890503,642,0.025,0.693,0.246,0.012,0.279,0.04,0.949,0,0.886,27
589.6442261,988,0.083,0.114,0.735,0.051,0.288,0.254,0.96,0,0.886,10
598.7268066,979,0.097,0.012,0.857,0.027,0.195,0.382,0.767,0,0.787,30
594.0725708,1301,0.295,0.356,0.281,0.019,0.143,0.163,0.839,0,0.743,29
613.7322388,1768,0.238,0.165,0.147,0.43,0.153,0.099,0.718,0,0.646,22
600.2352905,764,0.264,0.09,0.586,0.034,0.199,0.128,0.749,0,0.824,8
588.2908936,565,0.074,0.303,0.434,0.17,0.25,0.069,0.688,0,0.667,3
598.3411865,669,0.293,0.422,0.188,0.009,0.164,0.091,0.865,0,0.686,28
602.84375,1518,0.468,0.016,0.101,0.398,0.121,0.238,0.706,0,0.624,22
583.2352905,220,0.027,0.341,0.609,0.005,0.245,0.164,0.891,0,0.931,12
605.4060669,1351,0.329,0.011,0.207,0.44,0.144,0.273,0.82,0,0.773,20
594.3956299,552,0.005,0.295,0.69,0.005,0.266,0.245,0.926,0,0.942,9
607.1613159,561,0.086,0.094,0.23,0.544,0.23,0.034,0.292,0,0.311,2
596.5702515,817,0.55,0.037,0.244,0.159,0.171,0.41,0.841,0,0.884,20
594.0999756,407,0.069,0.179,0.59,0.147,0.224,0.221,0.926,0,0.858,11
584.6842041,191,0.01,0.623,0.314,0.016,0.304,0.058,0.96,0,0.96,23
602.9807739,952,0.039,0.006,0.197,0.751,0.137,0.034,0.277,0,0.243,24
590.7184448,1104,0.005,0.233,0.751,0.01,0.22,0.288,0.96,0,0.96,9
616,573,0.044,0.321,0.592,0.019,0.11,0.14,0.829,1,0.772,84
625.3684082,524,0.466,0.042,0.099,0.296,0.05,0.017,0.258,0,0.3,30
587.3739624,711,0.035,0.215,0.706,0.031,0.225,0.311,0.96,0,0.947,9
607.3150635,1126,0.106,0.008,0.453,0.418,0.184,0.099,0.651,0,0.554,24
591.7937622,512,0.029,0.51,0.281,0.131,0.207,0.076,0.703,0,0.696,3
607.1445923,528,0.023,0.085,0.843,0.038,0.138,0.152,0.828,0,0.793,32
591,752,0.021,0.415,0.443,0.096,0.379,0.02,0.745,1,0.698,84
602.0093994,669,0.211,0.085,0.625,0.055,0.271,0.154,0.846,0,0.908,10
589.6903076,893,0.053,0.433,0.437,0.065,0.189,0.16,0.785,0,0.836,11
597.2474976,536,0.328,0.058,0.537,0.021,0.174,0.248,0.8,0,0.842,28
606.444458,635,0.698,0.058,0.12,0.027,0.134,0.094,0.854,0,0.723,28
610.0629883,732,0.28,0.025,0.264,0.398,0.173,0.219,0.605,0,0.558,28
595.3043213,426,0.038,0.136,0.582,0.23,0.195,0.11,0.674,0,0.666,3
601,255,0.0039215688593685,0.329411774873734,0.643137276172638,0.0078431377187371,0.203921571373939,0.122,0.914,1,0.889,84
586.833313,409,0.02,0.711,0.22,0.034,0.213,0.267,0.861,0,0.873,17
588.9868164,561,0.016,0.877,0.082,0.009,0.217,0.055,0.717,0,0.592,29
592.8695679,716,0.031,0.264,0.661,0.034,0.226,0.131,0.902,0,0.92,7
565.111084,1135,0.178,0.066,0.211,0.495,0.202,0.023,0.326,0,0.35,15
584.5999756,260,0.027,0.492,0.438,0.019,0.292,0.146,0.888,0,0.856,13
589.673584,897,0.039,0.194,0.647,0.107,0.216,0.08,0.799,0,0.841,11
615.673584,372,0.159,0.099,0.452,0.258,0.121,0.022,0.567,0,0.594,1
593.8070679,369,0.005,0.214,0.688,0.092,0.266,0.092,0.864,0,0.849,14
595.8580322,1256,0.132,0.096,0.748,0.018,0.173,0.282,0.861,0,0.774,30
590.6841431,967,0.034,0.335,0.473,0.142,0.301,0.112,0.793,0,0.802,31
594.3805542,168,0.012,0.399,0.554,0.012,0.28,0.071,0.96,0,0.946,4
618.4857178,281,0.281,0.046,0.146,0.466,0.21,0.025,0.217,0,0.21,26
603.3658447,316,0.165,0.054,0.731,0.019,0.203,0.117,0.915,0,0.74,27
598.2562866,482,0.019,0.9,0.058,0.01,0.226,0.041,0.83,0,0.715,18
612.166687,1111,0.534,0.004,0.189,0.266,0.172,0.138,0.728,0,0.647,20
619.864502,1651,0.544,0.005,0.159,0.288,0.134,0.098,0.733,0,0.653,20
614,1172,0.009,0.795,0.127,0.014,0.125,0.033,0.776,1,0.737,84
613,606,0.005,0.34,0.627,0.01,0.106,0.173,0.921,1,0.895,84
616.9077148,725,0.161,0.019,0.172,0.626,0.197,0.052,0.51,0,0.339,31
619.0487671,560,0.164,0.039,0.159,0.532,0.22,0.025,0.177,0,0.168,2
604.0714111,295,0.498,0.18,0.285,0.024,0.288,0.19,0.776,0,0.834,2
595,318,0.069,0.267,0.119,0.45,0.264,0.028,0.283,1,0.358,84
601.1153564,327,0.006,0.205,0.749,0.031,0.245,0.098,0.869,0,0.843,14
605,529,0.004,0.798,0.185,0.006,0.149,0.055,0.815,1,0.85,84
619.6394043,1520,0.659,0.047,0.139,0.134,0.104,0.068,0.695,0,0.554,26
604,829,0.124,0.117,0.376,0.311,0.207,0.076,0.53,1,0.534,84
603.1333618,285,0.077,0.06,0.4,0.442,0.179,0.098,0.561,0,0.604,30
587.6173096,644,0.016,0.84,0.098,0.028,0.205,0.14,0.792,0,0.829,17
613,520,0.004,0.815,0.146,0.006,0.144,0.071,0.837,1,0.744,84
607.3286743,1000,0.234,0.043,0.428,0.255,0.118,0.144,0.671,0,0.623,30
591.4949951,911,0.327,0.342,0.177,0.016,0.206,0.074,0.869,0,0.7,27
622,1042,0.007,0.81,0.154,0.008,0.168,0.03,0.833,1,0.838,84
604.2727051,578,0.054,0.01,0.17,0.76,0.306,0.014,0.322,0,0.281,31
590.6391602,318,0.013,0.27,0.701,0.006,0.365,0.138,0.96,0,0.93,9
606,548,0.011,0.874,0.069,0.007,0.146,0.066,0.838,1,0.734,84
601.4411621,320,0.097,0.103,0.397,0.35,0.253,0.034,0.491,0,0.534,1
584.6764526,402,0.007,0.595,0.333,0.017,0.294,0.062,0.96,0,0.96,23
604.270813,622,0.074,0.013,0.892,0.011,0.145,0.315,0.96,0,0.832,30
591.9440918,761,0.013,0.018,0.963,0.003,0.196,0.23,0.96,0,0.891,24
602.3805542,757,0.034,0.754,0.049,0.009,0.12,0.008,0.654,0,0.388,29
609.375,302,0.089,0.142,0.295,0.437,0.348,0.036,0.341,0,0.379,15
588.1460571,683,0.023,0.07,0.864,0.037,0.217,0.381,0.924,0,0.945,10
606.4780884,775,0.644,0.03,0.295,0.023,0.186,0.271,0.787,0,0.808,25
603.7796631,700,0.049,0.009,0.537,0.349,0.19,0.154,0.853,0,0.704,24
594,619,0.152,0.643,0.157,0.026,0.184,0.118,0.817,1,0.73,84
