dbn,ay,test_year,grade,category,number_tested,mean_scale_score,level_1_n,level_1_pct,level_2_n,level_2_pct,level_3_n,level_3_pct,level_4_n,level_4_pct,level_3_4_n,level_3_4_pct,year,charter
84K037,2014,2015,3,All Students,43,306.0,9.0,20.9,20.0,46.5,13.0,30.2,1.0,2.3,14.0,32.6,2015,True
84K037,2015,2016,3,All Students,52,319.0,4.0,7.7,20.0,38.5,25.0,48.1,3.0,5.8,28.0,53.8,2016,True
84K037,2016,2017,3,All Students,50,323.0,2.0,4.0,16.0,32.0,29.0,58.0,3.0,6.0,32.0,64.0,2017,True
84K037,2017,2018,3,All Students,51,604.0,4.0,7.8,16.0,31.4,28.0,54.9,3.0,5.9,31.0,60.8,2018,True
84K037,2018,2019,3,All Students,49,606.0,3.0,6.1,7.0,14.3,35.0,71.4,4.0,8.2,39.0,79.6,2019,True
84K037,2015,2016,4,All Students,40,315.0,4.0,10.0,18.0,45.0,14.0,35.0,4.0,10.0,18.0,45.0,2016,True
84K037,2016,2017,4,All Students,52,320.0,4.0,7.7,18.0,34.6,21.0,40.4,9.0,17.3,30.0,57.7,2017,True
84K037,2017,2018,4,All Students,53,604.0,3.0,5.7,22.0,41.5,21.0,39.6,7.0,13.2,28.0,52.8,2018,True
84K037,2018,2019,4,All Students,53,602.0,7.0,13.2,14.0,26.4,25.0,47.2,7.0,13.2,32.0,60.4,2019,True
84K037,2016,2017,5,All Students,39,316.0,3.0,7.7,17.0,43.6,17.0,43.6,2.0,5.1,19.0,48.7,2017,True
84K037,2017,2018,5,All Students,53,603.0,16.0,30.2,17.0,32.1,11.0,20.8,9.0,17.0,20.0,37.7,2018,True
84K037,2018,2019,5,All Students,50,604.0,9.0,18.0,21.0,42.0,13.0,26.0,7.0,14.0,20.0,40.0,2019,True
84K037,2017,2018,6,All Students,42,606.0,3.0,7.1,11.0,26.2,16.0,38.1,12.0,28.6,28.0,66.7,2018,True
84K037,2018,2019,6,All Students,52,596.0,15.0,28.8,17.0,32.7,10.0,19.2,10.0,19.2,20.0,38.5,2019,True
84K037,2018,2019,7,All Students,40,601.0,8.0,20.0,15.0,37.5,14.0,35.0,3.0,7.5,17.0,42.5,2019,True
84K037,2014,2015,All Grades,All Students,43,306.0,9.0,20.9,20.0,46.5,13.0,30.2,1.0,2.3,14.0,32.6,2015,True
84K037,2015,2016,All Grades,All Students,92,317.0,8.0,8.7,38.0,41.3,39.0,42.4,7.0,7.6,46.0,50.0,2016,True
84K037,2016,2017,All Grades,All Students,141,320.0,9.0,6.4,51.0,36.2,67.0,47.5,14.0,9.9,81.0,57.4,2017,True
84K037,2017,2018,All Grades,All Students,199,604.0,26.0,13.1,66.0,33.2,76.0,38.2,31.0,15.6,107.0,53.8,2018,True
84K037,2018,2019,All Grades,All Students,244,602.0,42.0,17.2,74.0,30.3,97.0,39.8,31.0,12.7,128.0,52.5,2019,True
84K125,2014,2015,3,All Students,56,322.0,8.0,14.3,15.0,26.8,27.0,48.2,6.0,10.7,33.0,58.9,2015,True
84K125,2015,2016,3,All Students,78,340.0,1.0,1.3,10.0,12.8,45.0,57.7,22.0,28.2,67.0,85.9,2016,True
84K125,2016,2017,3,All Students,81,336.0,1.0,1.2,14.0,17.3,57.0,70.4,9.0,11.1,66.0,81.5,2017,True
84K125,2017,2018,3,All Students,73,618.0,0.0,0.0,5.0,6.8,50.0,68.5,18.0,24.7,68.0,93.2,2018,True
