,dbn,year,district,boro,school_name_x,total_enrollment,female_1,male_1,asian_1,black_1,hispanic_1,multi_racial_1,native_american_1,white_1,students_with_disabilities_1,english_language_learners_1,poverty_1,economic_need_index,grade,category_x,number_tested_math,mean_scale_score_math,level1_n_math,level1_math,level2_n_math,level2_math,level3_n_math,level3_math,level4_n_math,level4_math,level3_4_n_math,level3_4_math,school_name_y,category_y,number_tested,mean_scale_score,level_1,level_1_1,level_2,level_2_1,level_3,level_3_1,level_4,level_4_1,level_3_4,level_3_4_1
0,01M015,2016,1,Manhattan,P.S. 015 Roberto Clemente,178,0.466,0.534,0.079,0.287,0.59,0.017,0.006,0.022,0.287,0.067,0.8540000000000001,0.882,3,All Students,21,275,13,61.9,4,19.0,4,19.0,0,0.0,4,19.0,P.S. 015 ROBERTO CLEMENTE,All Students,20,293,10,50.0,6,30.0,4,20.0,0,0.0,4,20.0
1,01M015,2016,1,Manhattan,P.S. 015 Roberto Clemente,178,0.466,0.534,0.079,0.287,0.59,0.017,0.006,0.022,0.287,0.067,0.8540000000000001,0.882,4,All Students,15,304,3,20.0,7,46.7,3,20.0,2,13.3,5,33.3,P.S. 015 ROBERTO CLEMENTE,All Students,15,298,5,33.3,7,46.7,3,20.0,0,0.0,3,20.0
2,01M015,2016,1,Manhattan,P.S. 015 Roberto Clemente,178,0.466,0.534,0.079,0.287,0.59,0.017,0.006,0.022,0.287,0.067,0.8540000000000001,0.882,5,All Students,16,283,7,43.8,7,43.8,2,12.5,0,0.0,2,12.5,P.S. 015 ROBERTO CLEMENTE,All Students,16,288,8,50.0,5,31.3,3,18.8,0,0.0,3,18.8
3,01M015,2016,1,Manhattan,P.S. 015 Roberto Clemente,178,0.466,0.534,0.079,0.287,0.59,0.017,0.006,0.022,0.287,0.067,0.8540000000000001,0.882,All Grades,All Students,52,286,23,44.2,18,34.6,9,17.3,2,3.8,11,21.2,P.S. 015 ROBERTO CLEMENTE,All Students,51,293,23,45.1,18,35.3,10,19.6,0,0.0,10,19.6
4,01M015,2017,1,Manhattan,P.S. 015 Roberto Clemente,190,0.521,0.479,0.105,0.274,0.579,0.005,0.005,0.032,0.258,0.042,0.847,0.89,3,All Students,29,302,8,27.6,9,31.0,7,24.1,5,17.2,12,41.4,P.S. 015 ROBERTO CLEMENTE,All Students,27,302,10,37.0,8,29.6,7,25.9,2,7.4,9,33.3
5,01M015,2017,1,Manhattan,P.S. 015 Roberto Clemente,190,0.521,0.479,0.105,0.274,0.579,0.005,0.005,0.032,0.258,0.042,0.847,0.89,4,All Students,23,301,6,26.1,8,34.8,8,34.8,1,4.3,9,39.1,P.S. 015 ROBERTO CLEMENTE,All Students,23,314,1,4.3,12,52.2,9,39.1,1,4.3,10,43.5
6,01M015,2017,1,Manhattan,P.S. 015 Roberto Clemente,190,0.521,0.479,0.105,0.274,0.579,0.005,0.005,0.032,0.258,0.042,0.847,0.89,5,All Students,17,322,2,11.8,5,29.4,8,47.1,2,11.8,10,58.8,P.S. 015 ROBERTO CLEMENTE,All Students,17,310,1,5.9,11,64.7,5,29.4,0,0.0,5,29.4
7,01M015,2017,1,Manhattan,P.S. 015 Roberto Clemente,190,0.521,0.479,0.105,0.274,0.579,0.005,0.005,0.032,0.258,0.042,0.847,0.89,All Grades,All Students,69,307,16,23.2,22,31.9,23,33.3,8,11.6,31,44.9,P.S. 015 ROBERTO CLEMENTE,All Students,67,308,12,17.9,31,46.3,21,31.3,3,4.5,24,35.8
8,01M019,2016,1,Manhattan,P.S. 019 Asher Levy,271,0.469,0.531,0.089,0.188,0.664,0.004,0.0,0.055,0.325,0.033,0.764,0.578,3,All Students,33,316,5,15.2,9,27.3,13,39.4,6,18.2,19,57.6,P.S. 019 ASHER LEVY,All Students,33,321,6,18.2,6,18.2,19,57.6,2,6.1,21,63.6
9,01M019,2016,1,Manhattan,P.S. 019 Asher Levy,271,0.469,0.531,0.089,0.188,0.664,0.004,0.0,0.055,0.325,0.033,0.764,0.578,4,All Students,28,315,4,14.3,10,35.7,4,14.3,10,35.7,14,50.0,P.S. 019 ASHER LEVY,All Students,29,313,3,10.3,14,48.3,7,24.1,5,17.2,12,41.4
10,01M019,2016,1,Manhattan,P.S. 019 Asher Levy,271,0.469,0.531,0.089,0.188,0.664,0.004,0.0,0.055,0.325,0.033,0.764,0.578,5,All Students,32,317,5,15.6,12,37.5,11,34.4,4,12.5,15,46.9,P.S. 019 ASHER LEVY,All Students,32,311,5,15.6,10,31.3,10,31.3,7,21.9,17,53.1
11,01M019,2016,1,Manhattan,P.S. 019 Asher Levy,271,0.469,0.531,0.089,0.188,0.664,0.004,0.0,0.055,0.325,0.033,0.764,0.578,All Grades,All Students,93,316,14,15.1,31,33.3,28,30.1,20,21.5,48,51.6,P.S. 019 ASHER LEVY,All Students,94,315,14,14.9,30,31.9,36,38.3,14,14.9,50,53.2
12,01M019,2017,1,Manhattan,P.S. 019 Asher Levy,257,0.444,0.556,0.089,0.191,0.646,0.012,0.0,0.062,0.35,0.031,0.77,0.679,3,All Students,28,313,7,25.0,6,21.4,8,28.6,7,25.0,15,53.6,P.S. 019 ASHER LEVY,All Students,28,314,4,14.3,10,35.7,11,39.3,3,10.7,14,50.0
13,01M019,2017,1,Manhattan,P.S. 019 Asher Levy,257,0.444,0.556,0.089,0.191,0.646,0.012,0.0,0.062,0.35,0.031,0.77,0.679,4,All Students,29,324,3,10.3,8,27.6,7,24.1,11,37.9,18,62.1,P.S. 019 ASHER LEVY,All Students,32,311,3,9.4,13,40.6,12,37.5,4,12.5,16,50.0
14,01M019,2017,1,Manhattan,P.S. 019 Asher Levy,257,0.444,0.556,0.089,0.191,0.646,0.012,0.0,0.062,0.35,0.031,0.77,0.679,5,All Students,27,310,6,22.2,11,40.7,5,18.5,5,18.5,10,37.0,P.S. 019 ASHER LEVY,All Students,27,326,1,3.7,11,40.7,8,29.6,7,25.9,15,55.6
15,01M019,2017,1,Manhattan,P.S. 019 Asher Levy,257,0.444,0.556,0.089,0.191,0.646,0.012,0.0,0.062,0.35,0.031,0.77,0.679,All Grades,All Students,84,315,16,19.0,25,29.8,20,23.8,23,27.4,43,51.2,P.S. 019 ASHER LEVY,All Students,87,316,8,9.2,34,39.1,31,35.6,14,16.1,45,51.7
16,01M020,2016,1,Manhattan,P.S. 020 Anna Silver,540,0.491,0.509,0.324,0.096,0.489,0.028,0.013,0.05,0.215,0.172,0.583,0.677,3,All Students,76,296,24,31.6,24,31.6,17,22.4,11,14.5,28,36.8,P.S. 020 ANNA SILVER,All Students,76,306,20,26.3,26,34.2,24,31.6,6,7.9,30,39.5
17,01M020,2016,1,Manhattan,P.S. 020 Anna Silver,540,0.491,0.509,0.324,0.096,0.489,0.028,0.013,0.05,0.215,0.172,0.583,0.677,4,All Students,71,293,27,38.0,20,28.2,11,15.5,13,18.3,24,33.8,P.S. 020 ANNA SILVER,All Students,70,302,18,25.7,26,37.1,17,24.3,9,12.9,26,37.1
18,01M020,2016,1,Manhattan,P.S. 020 Anna Silver,540,0.491,0.509,0.324,0.096,0.489,0.028,0.013,0.05,0.215,0.172,0.583,0.677,5,All Students,73,301,29,39.7,19,26.0,15,20.5,10,13.7,25,34.2,P.S. 020 ANNA SILVER,All Students,73,294,30,41.1,26,35.6,15,20.5,2,2.7,17,23.3
19,01M020,2016,1,Manhattan,P.S. 020 Anna Silver,540,0.491,0.509,0.324,0.096,0.489,0.028,0.013,0.05,0.215,0.172,0.583,0.677,All Grades,All Students,220,297,80,36.4,63,28.6,43,19.5,34,15.5,77,35.0,P.S. 020 ANNA SILVER,All Students,219,301,68,31.1,78,35.6,56,25.6,17,7.8,73,33.3
