SCHOOL YEAR END DATE,BEDS CODE,NAME,SUBJECT,TOTAL ENROLLED,TOTAL NOT TESTED,TOTAL TESTED,LEVEL 1 COUNT,LEVEL 1 PCT,LEVEL 2 COUNT,LEVEL 2 PCT,LEVEL 3 COUNT,LEVEL 3 PCT,LEVEL 4 COUNT,LEVEL 4 PCT,LEVEL 3-4 PCT,MEAN SCALE SCORE
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 3 ELA,785,567,218,18,8%,42,19%,72,33%,86,39%,72%,613
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 3 Math,785,559,226,59,26%,29,13%,35,15%,103,46%,61%,605
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 4 ELA,748,484,264,22,8%,32,12%,49,19%,161,61%,80%,618
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 4 Math,749,493,256,46,18%,39,15%,47,18%,124,48%,67%,608
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 5 ELA,786,536,250,44,18%,49,20%,37,15%,120,48%,63%,616
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 5 Math,784,537,247,48,19%,30,12%,45,18%,124,50%,68%,610
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 6 ELA,729,534,195,21,11%,25,13%,38,19%,111,57%,76%,614
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 6 Math,729,528,201,51,25%,27,13%,35,17%,88,44%,61%,607
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 7 ELA,752,536,216,40,19%,34,16%,57,26%,85,39%,66%,611
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 7 Math,751,541,210,30,14%,38,18%,49,23%,93,44%,68%,610
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 8 ELA,738,560,178,19,11%,40,22%,43,24%,76,43%,67%,609
6/30/2021,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,Grade 8 Math,738,709,29,6,21%,12,41%,7,24%,4,14%,38%,603
6/30/2021,310100010015,PS 15 ROBERTO CLEMENTE,Grade 3 ELA,29,21,8,0,0%,2,25%,4,50%,2,25%,75%,613
6/30/2021,310100010015,PS 15 ROBERTO CLEMENTE,Grade 3 Math,29,19,10,3,30%,1,10%,5,50%,1,10%,60%,597
6/30/2021,310100010015,PS 15 ROBERTO CLEMENTE,Grade 4 ELA,29,23,6,0,0%,0,0%,2,33%,4,67%,100%,621
6/30/2021,310100010015,PS 15 ROBERTO CLEMENTE,Grade 4 Math,29,24,5,0,0%,1,20%,3,60%,1,20%,80%,605
6/30/2021,310100010015,PS 15 ROBERTO CLEMENTE,Grade 5 ELA,25,21,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010015,PS 15 ROBERTO CLEMENTE,Grade 5 Math,25,21,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010019,PS 19 ASHER LEVY,Grade 3 ELA,29,22,7,1,14%,2,29%,1,14%,3,43%,57%,604
6/30/2021,310100010019,PS 19 ASHER LEVY,Grade 3 Math,29,22,7,3,43%,2,29%,2,29%,0,0%,29%,588
6/30/2021,310100010019,PS 19 ASHER LEVY,Grade 4 ELA,30,23,7,0,0%,0,0%,4,57%,3,43%,100%,619
6/30/2021,310100010019,PS 19 ASHER LEVY,Grade 4 Math,30,23,7,2,29%,1,14%,3,43%,1,14%,57%,599
6/30/2021,310100010019,PS 19 ASHER LEVY,Grade 5 ELA,31,18,13,2,15%,4,31%,5,38%,2,15%,54%,609
6/30/2021,310100010019,PS 19 ASHER LEVY,Grade 5 Math,31,28,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010020,PS 20 ANNA SILVER,Grade 3 ELA,61,59,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010020,PS 20 ANNA SILVER,Grade 3 Math,61,59,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010020,PS 20 ANNA SILVER,Grade 4 ELA,65,60,5,1,20%,1,20%,1,20%,2,40%,60%,608
6/30/2021,310100010020,PS 20 ANNA SILVER,Grade 4 Math,65,60,5,1,20%,2,40%,0,0%,2,40%,40%,597
6/30/2021,310100010020,PS 20 ANNA SILVER,Grade 5 ELA,58,48,10,1,10%,2,20%,2,20%,5,50%,70%,618
6/30/2021,310100010020,PS 20 ANNA SILVER,Grade 5 Math,58,47,11,2,18%,3,27%,4,36%,2,18%,55%,600
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 3 ELA,15,14,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 3 Math,15,15,0,0,,0,,0,,0,,,
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 4 ELA,15,14,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 4 Math,15,15,0,0,,0,,0,,0,,,
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 5 ELA,19,18,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 5 Math,19,18,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 6 ELA,43,42,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 6 Math,43,41,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 7 ELA,38,34,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 7 Math,38,33,5,2,40%,3,60%,0,0%,0,0%,0%,591
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 8 ELA,42,34,8,2,25%,4,50%,2,25%,0,0%,25%,589
6/30/2021,310100010034,PS 34 FRANKLIN D ROOSEVELT,Grade 8 Math,42,39,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 3 ELA,28,27,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 3 Math,27,26,1,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 4 ELA,22,14,8,2,25%,3,38%,0,0%,3,38%,38%,599
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 4 Math,22,13,9,6,67%,3,33%,0,0%,0,0%,0%,580
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 5 ELA,28,26,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010063,STAR ACADEMY PS 63 (THE),Grade 5 Math,28,26,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 3 ELA,32,19,13,2,15%,5,38%,3,23%,3,23%,46%,598
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 3 Math,32,19,13,8,62%,2,15%,1,8%,2,15%,23%,583
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 4 ELA,38,19,19,5,26%,4,21%,4,21%,6,32%,53%,599
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 4 Math,38,19,19,8,42%,5,26%,1,5%,5,26%,32%,592
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 5 ELA,29,13,16,8,50%,5,31%,3,19%,0,0%,19%,592
6/30/2021,310100010064,PS 64 ROBERT SIMON,Grade 5 Math,29,12,17,10,59%,3,18%,2,12%,2,12%,24%,586
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 3 ELA,61,50,11,1,9%,0,0%,5,45%,5,45%,91%,620
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 3 Math,61,47,14,0,0%,3,21%,4,29%,7,50%,79%,611
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 4 ELA,50,36,14,0,0%,0,0%,4,29%,10,71%,100%,629
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 4 Math,50,32,18,0,0%,1,6%,3,17%,14,78%,94%,618
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 5 ELA,51,40,11,1,9%,2,18%,2,18%,6,55%,73%,624
6/30/2021,310100010110,PS 110 FLORENCE NIGHTINGALE,Grade 5 Math,51,39,12,1,8%,1,8%,1,8%,9,75%,83%,613
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 3 ELA,30,26,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 3 Math,30,26,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 4 ELA,29,24,5,1,20%,0,0%,2,40%,2,40%,80%,609
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 4 Math,29,25,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 5 ELA,38,34,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010134,PS 134 HENRIETTA SZOLD,Grade 5 Math,38,34,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 3 ELA,31,26,5,1,20%,2,40%,2,40%,0,0%,40%,593
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 3 Math,31,28,3,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 4 ELA,22,18,4,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 4 Math,22,17,5,2,40%,2,40%,1,20%,0,0%,20%,588
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 5 ELA,28,28,0,0,,0,,0,,0,,,
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 5 Math,28,28,0,0,,0,,0,,0,,,
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 6 ELA,49,47,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 6 Math,49,47,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 7 ELA,55,50,5,0,0%,4,80%,0,0%,1,20%,20%,604
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 7 Math,55,50,5,0,0%,3,60%,1,20%,1,20%,40%,602
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 8 ELA,55,53,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010140,PS 140 NATHAN STRAUS,Grade 8 Math,55,53,2,-,-,-,-,-,-,-,-,-,-
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 3 ELA,45,45,0,0,,0,,0,,0,,,
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 3 Math,45,45,0,0,,0,,0,,0,,,
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 4 ELA,41,41,0,0,,0,,0,,0,,,
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 4 Math,42,42,0,0,,0,,0,,0,,,
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 5 ELA,39,39,0,0,,0,,0,,0,,,
6/30/2021,310100010142,PS 142 AMALIA CASTRO,Grade 5 Math,39,39,0,0,,0,,0,,0,,,
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 3 ELA,61,27,34,1,3%,4,12%,16,47%,13,38%,85%,616
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 3 Math,61,26,35,3,9%,4,11%,10,29%,18,51%,80%,613
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 4 ELA,58,17,41,2,5%,2,5%,8,20%,29,71%,90%,624
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 4 Math,58,18,40,2,5%,5,13%,12,30%,21,53%,83%,612
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 5 ELA,52,22,30,6,20%,6,20%,5,17%,13,43%,60%,611
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 5 Math,52,22,30,1,3%,5,17%,11,37%,13,43%,80%,611
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 6 ELA,89,36,53,6,11%,6,11%,17,32%,24,45%,77%,611
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 6 Math,89,33,56,7,13%,12,21%,12,21%,25,45%,66%,608
6/30/2021,310100010184,PS 184 SHUANG WEN,Grade 7 ELA,97,35,62,11,18%,6,10%,21,34%,24,39%,73%,611
